,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
0,Aron Baynes,C,32,BOS,9,5,115,3.3,5.8,.571,0.8,2.5,.333,2.5,3.3,.750,0.4,0.8,.500,2.5,7.9,10.4,1.3,1.3,1.3,2.1,8.4,7.9,,106,102,2018-19
1,Jaylen Brown,SG,22,BOS,9,9,274,7.7,15.3,.506,2.5,7.0,.350,5.3,8.2,.638,4.0,5.3,.767,1.1,8.1,9.1,1.8,1.1,0.4,2.6,5.3,21.9,,110,104,2018-19
2,Gordon Hayward,PF,28,BOS,9,0,267,5.2,12.6,.414,1.6,4.3,.375,3.6,8.3,.435,3.4,3.4,1.000,0.5,5.9,6.5,4.0,1.1,0.5,2.7,2.9,15.5,,101,105,2018-19
3,Al Horford,C,32,BOS,9,9,310,7.1,17.0,.418,2.8,6.8,.409,4.3,10.2,.424,2.3,2.8,.833,2.0,10.5,12.6,6.2,0.6,1.1,2.9,3.3,19.4,,104,103,2018-19
4,Kyrie Irving,PG,26,BOS,9,9,330,10.0,26.1,.385,2.6,8.4,.310,7.4,17.6,.421,5.2,5.8,.900,0.7,5.1,5.8,9.2,1.7,0.6,4.1,3.8,27.9,,98,104,2018-19
5,Marcus Morris,PF,29,BOS,9,4,254,7.8,14.9,.519,3.4,7.6,.450,4.3,7.4,.590,4.3,5.9,.742,2.3,11.5,13.8,2.1,0.2,0.9,1.3,4.2,23.3,,128,104,2018-19
6,Semi Ojeleye,PF,24,BOS,6,0,34,5.7,12.7,.444,4.2,7.1,.600,1.4,5.7,.250,2.8,2.8,1.000,1.4,1.4,2.8,2.8,0.0,0.0,1.4,7.1,18.4,,125,111,2018-19
7,Terry Rozier,PG,24,BOS,9,0,162,5.6,17.5,.322,2.4,10.1,.235,3.3,7.4,.440,3.6,4.7,.750,1.2,10.4,11.6,5.0,1.2,0.6,3.0,4.4,17.2,,89,103,2018-19
8,Marcus Smart,SG,24,BOS,2,0,32,1.5,16.5,.091,1.5,16.5,.091,0.0,0.0,,6.0,9.0,.667,6.0,0.0,6.0,6.0,4.5,0.0,4.5,4.5,10.5,,70,101,2018-19
9,Jayson Tatum,SF,20,BOS,9,9,295,8.0,18.2,.438,1.6,5.0,.323,6.4,13.2,.481,4.7,6.4,.744,1.1,8.6,9.8,2.8,1.6,1.1,2.9,3.4,22.3,,99,102,2018-19
10,Daniel Theis,C,26,BOS,7,0,42,5.7,16.0,.357,0.0,2.3,.000,5.7,13.7,.417,2.3,2.3,1.000,4.6,6.9,11.4,0.0,1.1,1.1,1.1,4.6,13.7,,90,104,2018-19
11,Brad Wanamaker,PG,29,BOS,4,0,17,8.5,19.8,.429,2.8,2.8,1.000,5.7,17.0,.333,8.5,11.3,.750,0.0,2.8,2.8,8.5,2.8,0.0,5.7,0.0,28.3,,103,104,2018-19
12,Robert Williams,C,21,BOS,3,0,13,3.7,7.4,.500,0.0,0.0,,3.7,7.4,.500,7.4,7.4,1.000,3.7,22.2,25.9,0.0,0.0,0.0,0.0,3.7,14.8,,156,100,2018-19
13,Guerschon Yabusele,PF,23,BOS,4,0,14,6.9,13.7,.500,0.0,3.4,.000,6.9,10.3,.667,13.7,24.0,.571,3.4,3.4,6.9,3.4,0.0,3.4,3.4,10.3,27.4,,110,104,2018-19
14,Jarrett Allen,C,20,BRK,5,5,110,7.9,13.4,.594,0.0,0.0,,7.9,13.4,.594,7.1,8.4,.850,6.3,7.9,14.2,4.6,1.3,1.3,3.3,5.4,23.0,,130,115,2018-19
16,Ed Davis,C,29,BRK,3,0,41,7.9,11.2,.700,0.0,0.0,,7.9,11.2,.700,2.2,2.2,1.000,4.5,16.8,21.3,2.2,0.0,1.1,0.0,10.1,17.9,,162,112,2018-19
17,Spencer Dinwiddie,PG,25,BRK,5,0,131,9.5,21.8,.435,3.2,8.4,.375,6.3,13.3,.474,3.5,4.9,.714,1.4,3.2,4.6,2.8,0.7,0.0,2.8,3.5,25.6,,103,121,2018-19
18,Jared Dudley,PF,33,BRK,4,2,82,1.7,6.2,.273,1.1,5.0,.222,0.6,1.1,.500,2.2,2.2,1.000,0.0,1.1,1.1,6.2,1.7,0.6,2.2,5.6,6.7,,98,120,2018-19
19,Treveon Graham,SG,25,BRK,5,0,79,1.2,5.8,.200,0.0,4.1,.000,1.2,1.7,.667,1.7,3.5,.500,1.7,4.7,6.4,1.7,1.2,0.6,1.7,5.8,4.1,,68,119,2018-19
20,Joe Harris,SG,27,BRK,5,5,149,4.9,13.3,.372,1.2,6.5,.190,3.7,6.8,.545,2.5,2.5,1.000,1.9,4.6,6.5,0.9,0.9,0.0,2.8,3.7,13.6,,89,120,2018-19
21,Rondae Hollis-Jefferson,SF,24,BRK,4,0,62,11.9,24.5,.485,0.7,0.7,1.000,11.1,23.7,.469,14.8,18.5,.800,2.2,6.7,8.9,4.5,0.7,3.7,2.2,5.2,39.3,,125,115,2018-19
22,Rodions Kurucs,SF,20,BRK,4,3,68,5.4,13.5,.400,1.4,5.4,.250,4.1,8.1,.500,4.7,6.1,.778,4.1,9.5,13.5,2.0,1.4,0.0,1.4,6.8,16.9,,114,115,2018-19
23,Caris LeVert,SF,24,BRK,5,2,144,11.5,23.3,.493,3.8,8.3,.462,7.7,15.0,.511,6.7,9.3,.724,1.9,5.4,7.3,4.8,1.6,0.6,3.2,2.6,33.5,,118,117,2018-19
24,DeMarre Carroll,SG,19,BRK,2,0,15,6.1,9.2,.667,0.0,3.1,.000,6.1,6.1,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,6.1,0.0,9.2,12.3,12.3,,57,111,2018-19
25,Shabazz Napier,PG,27,BRK,3,0,28,11.5,18.1,.636,4.9,8.2,.600,6.6,9.9,.667,11.5,13.1,.875,3.3,8.2,11.5,18.1,1.6,0.0,0.0,1.6,39.4,,187,116,2018-19
26,Theo Pinson,SG,23,BRK,3,0,22,6.3,16.7,.375,6.3,14.6,.429,0.0,2.1,.000,0.0,0.0,,0.0,6.3,6.3,6.3,4.2,0.0,2.1,0.0,18.8,,113,112,2018-19
27,D'Angelo Russell,PG,22,BRK,5,5,148,11.5,32.0,.359,3.7,11.5,.324,7.8,20.5,.379,3.4,4.0,.846,0.6,5.0,5.6,5.6,2.2,0.3,4.3,3.7,30.1,,89,117,2018-19
28,Will Barton,SF,28,DEN,14,3,328,7.4,21.3,.348,2.4,8.7,.273,5.1,12.6,.400,2.8,4.1,.692,2.4,8.2,10.6,3.8,0.6,1.4,2.1,3.0,20.1,,95,113,2018-19
29,Malik Beasley,SG,22,DEN,14,0,281,6.6,17.2,.387,3.5,8.7,.404,3.1,8.5,.370,4.1,5.7,.710,2.0,6.8,8.9,2.6,0.6,0.2,1.3,3.7,20.8,,113,115,2018-19
30,Torrey Craig,SF,28,DEN,14,11,330,5.2,10.8,.478,2.7,5.7,.472,2.5,5.2,.485,1.4,2.5,.563,3.3,8.0,11.3,1.9,1.1,0.8,0.9,6.0,14.4,,127,113,2018-19
31,Gary Harris,SG,24,DEN,14,14,517,7.3,15.8,.462,2.0,5.7,.351,5.3,10.1,.525,3.3,3.8,.868,0.9,4.9,5.8,3.2,1.2,0.8,1.1,3.8,19.9,,119,114,2018-19
32,Juan Hernangómez,PF,23,DEN,5,0,15,3.5,10.4,.333,3.5,6.9,.500,0.0,3.5,.000,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,3.5,6.9,10.4,,72,114,2018-19
33,Nikola Jokić,C,23,DEN,14,14,557,12.3,24.3,.506,2.0,5.2,.393,10.2,19.1,.537,6.1,7.3,.846,5.0,11.9,16.9,11.0,1.5,1.2,3.3,5.0,32.8,,127,109,2018-19
