,PLAYER,POS,TEAM
0,Jaylen Adams,PG,ATL
1,Justin Anderson,SF,ATL
2,Kent Bazemore,SG,ATL
3,DeAndre' Bembry,SG,ATL
4,Vince Carter,PF,ATL
5,John Collins,PF,ATL
6,Deyonta Davis,C,ATL
7,Dewayne Dedmon,C,ATL
8,Tyler Dorsey,SG,ATL
9,Daniel Hamilton,SG,ATL
10,Kevin Huerter,SG,ATL
11,Isaac Humphries,C,ATL
12,B.J. Johnson,SF,ATL
13,Alex Len,C,ATL
14,Jeremy Lin,PG,ATL
15,Miles Plumlee,C,ATL
16,Alex Poythress,PF,ATL
17,Taurean Prince,SF,ATL
18,Jordan Sibert,SG,ATL
19,Omari Spellman,PF,ATL
20,Trae Young,PG,ATL
21,Tyler Zeller,C,ATL
22,Aron Baynes,C,BOS
23,Jaylen Brown,SG,BOS
24,PJ Dozier,SG,BOS
25,Gordon Hayward,PF,BOS
26,Al Horford,C,BOS
27,R.J. Hunter,SG,BOS
28,Kyrie Irving,PG,BOS
29,Greg Monroe,C,BOS
30,Marcus Morris,PF,BOS
31,Semi Ojeleye,PF,BOS
32,Terry Rozier,PG,BOS
33,Marcus Smart,SG,BOS
34,Jayson Tatum,SF,BOS
35,Daniel Theis,C,BOS
36,Brad Wanamaker,PG,BOS
37,Robert Williams,C,BOS
38,Guerschon Yabusele,PF,BOS
39,Jarrett Allen,C,BRK
40,DeMarre Carroll,PF,BRK
41,Allen Crabbe,SG,BRK
42,Mitch Creek,SF,BRK
43,Ed Davis,C,BRK
44,Spencer Dinwiddie,PG,BRK
45,Jared Dudley,PF,BRK
46,Kenneth Faried,C,BRK
47,Treveon Graham,SG,BRK
48,Joe Harris,SG,BRK
49,Rondae Hollis-Jefferson,SF,BRK
50,Rodions Kurucs,SF,BRK
51,Caris LeVert,SF,BRK
52,Tahjere McCall,SG,BRK
53,Džanan Musa,SG,BRK
54,Shabazz Napier,PG,BRK
55,Theo Pinson,SG,BRK
56,D'Angelo Russell,PG,BRK
57,Alan Williams,PF,BRK
58,Rawle Alkins,SG,CHI
59,Ryan Arcidiacono,PG,CHI
60,Antonio Blakeney,SG,CHI
61,Wendell Carter,C,CHI
62,Kris Dunn,PG,CHI
63,Cristiano Felício,C,CHI
64,Shaquille Harrison,SG,CHI
65,Justin Holiday,SG,CHI
66,Chandler Hutchison,SF,CHI
67,Zach LaVine,SG,CHI
68,Walt Lemon,PG,CHI
69,Robin Lopez,C,CHI
70,Timothé Luwawu-Cabarrot,SF,CHI
71,Lauri Markkanen,PF,CHI
72,Jabari Parker,PF,CHI
73,Cameron Payne,PG,CHI
74,Otto Porter,SF,CHI
75,Bobby Portis,PF,CHI
76,Brandon Sampson,SG,CHI
77,JaKarr Sampson,SF,CHI
78,Wayne Selden,SG,CHI
79,Tyler Ulis,PG,CHI
80,Dwayne Bacon,SG,CHO
81,Nicolas Batum,SF,CHO
82,Bismack Biyombo,C,CHO
83,Miles Bridges,SF,CHO
84,Joe Chealey,PG,CHO
85,Devonte' Graham,PG,CHO
86,Willy Hernangómez,C,CHO
87,Frank Kaminsky,C,CHO
88,Michael Kidd-Gilchrist,PF,CHO
89,Jeremy Lamb,SG,CHO
90,Shelvin Mack,PG,CHO
91,J.P. Macura,SG,CHO
92,Malik Monk,SG,CHO
93,Tony Parker,PG,CHO
94,Kemba Walker,PG,CHO
95,Marvin Williams,PF,CHO
96,Cody Zeller,C,CHO
97,Deng Adel,SF,CLE
98,Jaron Blossomgame,SF,CLE
99,Alec Burks,SG,CLE
100,Marquese Chriss,PF,CLE
101,Jordan Clarkson,SG,CLE
102,Sam Dekker,PF,CLE
103,Matthew Dellavedova,PG,CLE
104,Channing Frye,C,CLE
105,Andrew Harrison,PG,CLE
106,George Hill,PG,CLE
107,John Holland,SF,CLE
108,Rodney Hood,SG,CLE
109,Jalen Jones,SF,CLE
110,Brandon Knight,PG,CLE
111,Kyle Korver,PF,CLE
112,Kevin Love,PF,CLE
113,Patrick McCaw,SG,CLE
114,Larry Nance,C,CLE
115,David Nwaba,SF,CLE
116,Cedi Osman,SF,CLE
117,Cameron Payne,PG,CLE
118,Collin Sexton,PG,CLE
119,Kobi Simmons,PG,CLE
120,J.R. Smith,SG,CLE
121,Nik Stauskas,SG,CLE
122,Tristan Thompson,C,CLE
123,Ante Žižić,C,CLE
124,Kostas Antetokounmpo,PF,DAL
125,J.J. Barea,PG,DAL
126,Harrison Barnes,PF,DAL
127,Ryan Broekhoff,SG,DAL
128,Jalen Brunson,PG,DAL
129,Trey Burke,PG,DAL
130,Luka Dončić,SG,DAL
131,Dorian Finney-Smith,SF,DAL
132,Tim Hardaway,SG,DAL
133,Devin Harris,PG,DAL
134,Justin Jackson,SF,DAL
135,DeAndre Jordan,C,DAL
136,Maxi Kleber,PF,DAL
137,Courtney Lee,SG,DAL
138,Daryl Macon,SG,DAL
139,Wesley Matthews,SF,DAL
140,Salah Mejri,C,DAL
141,Dirk Nowitzki,PF,DAL
142,Dwight Powell,C,DAL
143,Dennis Smith,PG,DAL
144,Ray Spalding,PF,DAL
145,DeVaughn Akoon-Purcell,SG,DEN
146,Will Barton,SF,DEN
147,Malik Beasley,SG,DEN
148,Torrey Craig,SF,DEN
149,Brandon Goodwin,PG,DEN
150,Gary Harris,SG,DEN
151,Juan Hernangómez,PF,DEN
152,Nikola Jokić,C,DEN
153,Tyler Lydon,PF,DEN
154,Trey Lyles,PF,DEN
155,Paul Millsap,PF,DEN
156,Monte Morris,PG,DEN
157,Jamal Murray,PG,DEN
158,Mason Plumlee,C,DEN
159,Isaiah Thomas,SG,DEN
160,Jarred Vanderbilt,PF,DEN
161,Thomas Welsh,C,DEN
162,Nick Young,SG,DEN
163,Bruce Brown,SG,DET
164,Reggie Bullock,SG,DET
165,José Calderón,PG,DET
166,Andre Drummond,C,DET
167,Henry Ellenson,PF,DET
168,Wayne Ellington,SG,DET
169,Langston Galloway,SG,DET
170,Blake Griffin,PF,DET
171,Reggie Jackson,PG,DET
172,Stanley Johnson,SF,DET
173,Luke Kennard,SG,DET
174,Jon Leuer,PF,DET
175,Zach Lofton,SG,DET
176,Kalin Lucas,PG,DET
177,Thon Maker,PF,DET
178,Sviatoslav Mykhailiuk,SF,DET
179,Zaza Pachulia,C,DET
180,Glenn Robinson,SF,DET
181,Ish Smith,PG,DET
182,Khyri Thomas,SG,DET
183,Jordan Bell,C,GSW
184,Andrew Bogut,C,GSW
185,Quinn Cook,PG,GSW
186,DeMarcus Cousins,C,GSW
187,Stephen Curry,PG,GSW
188,Marcus Derrickson,PF,GSW
189,Kevin Durant,SF,GSW
190,Jacob Evans,SG,GSW
191,Draymond Green,PF,GSW
192,Andre Iguodala,SF,GSW
193,Jonas Jerebko,PF,GSW
194,Damian Jones,C,GSW
195,Damion Lee,SG,GSW
196,Shaun Livingston,PG,GSW
197,Kevon Looney,C,GSW
198,Alfonzo McKinnie,SF,GSW
199,Klay Thompson,SG,GSW
200,Carmelo Anthony,PF,HOU
201,Clint Capela,C,HOU
202,Michael Carter-Williams,PG,HOU
203,Chris Chiozza,PG,HOU
204,Marquese Chriss,PF,HOU
205,Gary Clark,PF,HOU
206,Vince Edwards,SF,HOU
207,James Ennis,SF,HOU
208,Kenneth Faried,C,HOU
209,Eric Gordon,SG,HOU
210,Gerald Green,SG,HOU
211,James Harden,PG,HOU
212,Isaiah Hartenstein,PF,HOU
213,Nenê Hilário,C,HOU
214,Danuel House,SF,HOU
215,Terrence Jones,PF,HOU
216,Brandon Knight,PG,HOU
217,James Nunnally,SF,HOU
218,Chris Paul,PG,HOU
219,Zhou Qi,PF,HOU
220,Austin Rivers,SG,HOU
221,Iman Shumpert,SG,HOU
222,P.J. Tucker,PF,HOU
223,Ike Anigbogu,C,IND
224,Bojan Bogdanović,SF,IND
225,Darren Collison,PG,IND
226,Tyreke Evans,SG,IND
227,Aaron Holiday,PG,IND
228,Alize Johnson,PF,IND
229,Cory Joseph,PG,IND
230,T.J. Leaf,PF,IND
231,Wesley Matthews,SG,IND
232,Doug McDermott,SF,IND
233,Kyle O'Quinn,C,IND
234,Victor Oladipo,SG,IND
235,Davon Reed,SG,IND
236,Domantas Sabonis,C,IND
237,Edmond Sumner,PG,IND
238,Myles Turner,C,IND
239,Thaddeus Young,PF,IND
240,Patrick Beverley,PG,LAC
241,Avery Bradley,SG,LAC
242,Wilson Chandler,SF,LAC
243,Ángel Delgado,C,LAC
244,Danilo Gallinari,SF,LAC
245,Shai Gilgeous-Alexander,PG,LAC
246,Marcin Gortat,C,LAC
247,JaMychal Green,PF,LAC
248,Montrezl Harrell,C,LAC
249,Tobias Harris,PF,LAC
250,Boban Marjanović,C,LAC
251,Luc Mbah a Moute,PF,LAC
252,Johnathan Motley,PF,LAC
253,Jerome Robinson,SG,LAC
254,Mike Scott,PF,LAC
