,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
0,2020-08-17,23-298,BOS,HOME,PHI,W (+8),1,38:52,9,16,0.563,5,8,0.625,6,6,1.0,2,4,6,4,3,0,2,4,29,26.2,-1,Jaylen Brown
1,2020-08-19,23-300,BOS,HOME,PHI,W (+27),1,28:26,6,13,0.462,2,7,0.28600000000000003,6,6,1.0,2,3,5,1,0,1,0,2,20,16.2,10,Jaylen Brown
2,2020-08-21,23-302,BOS,AWAY,PHI,W (+8),1,41:43,6,16,0.375,1,5,0.2,8,9,0.889,0,7,7,3,0,0,3,1,21,12.6,10,Jaylen Brown
3,2020-08-23,23-304,BOS,AWAY,PHI,W (+4),1,41:00,6,15,0.4,2,9,0.222,2,3,0.667,0,5,5,2,1,0,5,3,16,5.2,-2,Jaylen Brown
4,2020-08-30,23-311,BOS,AWAY,TOR,W (+18),1,31:17,6,18,0.33299999999999996,3,9,0.33299999999999996,2,3,0.667,0,5,5,4,0,0,2,5,17,6.7,10,Jaylen Brown
5,2020-09-01,23-313,BOS,AWAY,TOR,W (+3),1,35:56,5,13,0.385,3,8,0.375,3,3,1.0,0,8,8,2,3,2,4,4,16,11.5,1,Jaylen Brown
6,2020-09-03,23-315,BOS,HOME,TOR,L (-1),1,40:14,9,15,0.6,0,2,0.0,1,2,0.5,0,12,12,2,0,4,4,1,19,15.1,-6,Jaylen Brown
7,2020-09-05,23-317,BOS,HOME,TOR,L (-7),1,37:22,4,18,0.222,2,11,0.182,4,4,1.0,0,6,6,0,1,0,1,4,14,3.2,-14,Jaylen Brown
8,2020-09-07,23-319,BOS,AWAY,TOR,W (+22),1,37:10,10,18,0.556,3,7,0.429,4,4,1.0,0,6,6,0,3,0,1,2,27,21.4,19,Jaylen Brown
9,2020-09-09,23-321,BOS,HOME,TOR,L (-3),1,51:11,11,30,0.36700000000000005,4,13,0.308,5,5,1.0,4,12,16,2,2,0,3,5,31,19.2,4,Jaylen Brown
10,2020-09-11,23-323,BOS,AWAY,TOR,W (+5),1,42:42,10,17,0.588,1,7,0.14300000000000002,0,1,0.0,2,6,8,2,4,0,2,0,21,19.3,14,Jaylen Brown
11,2020-09-15,23-327,BOS,HOME,MIA,L (-3),1,43:46,6,14,0.429,3,4,0.75,2,2,1.0,4,1,5,2,1,0,1,3,17,12.9,-6,Jaylen Brown
12,2020-09-17,23-329,BOS,HOME,MIA,L (-5),1,39:17,8,14,0.5710000000000001,2,4,0.5,3,4,0.75,3,3,6,2,0,0,1,4,21,15.8,-2,Jaylen Brown
13,2020-09-19,23-331,BOS,AWAY,MIA,W (+11),1,42:57,11,17,0.647,1,2,0.5,3,5,0.6,2,5,7,5,3,1,2,4,26,24.2,15,Jaylen Brown
14,2020-09-23,23-335,BOS,AWAY,MIA,L (-3),1,40:22,8,14,0.5710000000000001,4,7,0.5710000000000001,1,2,0.5,0,9,9,2,1,1,4,5,21,13.8,1,Jaylen Brown
15,2020-09-25,23-337,BOS,HOME,MIA,W (+13),1,39:25,12,23,0.522,4,10,0.4,0,1,0.0,3,5,8,2,1,0,4,1,28,17.9,11,Jaylen Brown
16,2020-09-27,23-339,BOS,AWAY,MIA,L (-12),1,40:22,10,17,0.588,3,7,0.429,3,3,1.0,2,6,8,4,3,0,2,0,26,25.1,-17,Jaylen Brown
0,2020-08-17,23-298,BOS,HOME,PHI,W (+8),1,38:52,9,16,0.563,5,8,0.625,6,6,1.0,2,4,6,4,3,0,2,4,29,26.2,-1,Jaylen Brown
1,2020-08-19,23-300,BOS,HOME,PHI,W (+27),1,28:26,6,13,0.462,2,7,0.28600000000000003,6,6,1.0,2,3,5,1,0,1,0,2,20,16.2,10,Jaylen Brown
2,2020-08-21,23-302,BOS,AWAY,PHI,W (+8),1,41:43,6,16,0.375,1,5,0.2,8,9,0.889,0,7,7,3,0,0,3,1,21,12.6,10,Jaylen Brown
