Rk,Team,Age,W,L,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Season
1,Milwaukee Bucks*,29.2,56,17,112.4,102.9,9.5,105.1,0.271,0.428,0.583,2020
2,Los Angeles Clippers*,27.4,49,23,113.9,107.6,6.3,101.5,0.295,0.375,0.577,2020
3,Los Angeles Lakers*,29.5,52,19,112,106.3,5.7,100.9,0.276,0.358,0.573,2020
4,Toronto Raptors*,26.6,53,19,111.1,105,6.1,100.9,0.264,0.421,0.574,2020
5,Boston Celtics*,25.3,48,24,113.3,107,6.3,99.5,0.259,0.386,0.57,2020
6,Dallas Mavericks*,26.1,43,32,116.7,111.7,5,99.3,0.264,0.457,0.581,2020
7,Houston Rockets*,29.2,44,28,112.9,110.1,2.8,103.7,0.288,0.501,0.578,2020
8,Miami Heat*,25.9,44,29,112.5,109.5,3,98.3,0.299,0.419,0.587,2020
9,Utah Jazz*,27.3,44,28,112.3,109.9,2.4,98.6,0.268,0.414,0.585,2020
10,Denver Nuggets*,25.6,46,27,113.1,111,2.1,97.1,0.235,0.344,0.567,2020
11,Oklahoma City Thunder*,25.5,44,28,110.8,108.8,2,98.8,0.29,0.353,0.573,2020
12,Philadelphia 76ers*,26.3,43,30,111.3,109,2.3,99,0.255,0.36,0.566,2020
13,Indiana Pacers*,25.6,45,28,110,108,2,98.9,0.216,0.317,0.565,2020
14,Phoenix Suns,24.6,34,39,111.7,111.4,0.3,101.3,0.271,0.361,0.576,2020
15,New Orleans Pelicans,25.4,30,42,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,2020
16,Portland Trail Blazers*,27.5,35,39,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,2020
17,San Antonio Spurs,27.6,32,39,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,2020
18,Memphis Grizzlies,24.1,34,39,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,2020
19,Orlando Magic*,26.1,33,40,108.5,109.5,-1,98.6,0.256,0.364,0.544,2020
20,Brooklyn Nets*,26.3,35,37,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,2020
21,Sacramento Kings,27,31,41,110.2,112.2,-2,98.9,0.23,0.395,0.566,2020
22,Chicago Bulls,24.4,22,43,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,2020
23,Minnesota Timberwolves,24.8,19,45,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,2020
24,Detroit Pistons,25.9,20,46,109,112.7,-3.7,97.6,0.261,0.381,0.561,2020
25,Washington Wizards,25.1,25,47,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,2020
26,New York Knicks,24.5,21,45,106.5,113,-6.5,98.6,0.263,0.318,0.531,2020
27,Charlotte Hornets,24.3,23,42,106.3,113.3,-7,95.8,0.252,0.399,0.539,2020
28,Atlanta Hawks,24.1,20,47,107.2,114.8,-7.6,103,0.258,0.398,0.554,2020
29,Cleveland Cavaliers,25,19,46,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,2020
30,Golden State Warriors,24.4,15,50,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,2020
1,Milwaukee Bucks*,26.9,60,22,113.8,105.2,8.6,103.3,0.255,0.419,0.583,2019
2,Golden State Warriors*,28.4,57,25,115.9,109.5,6.4,100.9,0.227,0.384,0.596,2019
3,Toronto Raptors*,27.3,58,24,113.1,107.1,6,100.2,0.247,0.379,0.579,2019
4,Utah Jazz*,27.3,50,32,110.9,105.7,5.2,100.3,0.295,0.394,0.572,2019
5,Houston Rockets*,29.2,53,29,115.5,110.7,4.8,97.9,0.279,0.519,0.581,2019
6,Portland Trail Blazers*,26.2,53,29,114.7,110.5,4.2,99.1,0.258,0.339,0.568,2019
7,Denver Nuggets*,24.9,54,28,113,108.9,4.1,97.7,0.232,0.348,0.558,2019
8,Boston Celtics*,25.7,49,33,112.2,107.8,4.4,99.6,0.215,0.381,0.567,2019
9,Oklahoma City Thunder*,25.7,49,33,110.3,107,3.3,102.8,0.266,0.347,0.545,2019
10,Indiana Pacers*,27,48,34,109.9,106.5,3.4,98.1,0.242,0.292,0.561,2019
11,Philadelphia 76ers*,26.4,51,31,112.6,110,2.6,101.6,0.312,0.342,0.574,2019
12,San Antonio Spurs*,28.8,48,34,112.9,111.2,1.7,98.3,0.237,0.286,0.572,2019
13,Los Angeles Clippers*,27.2,48,34,112.4,111.5,0.9,101.7,0.326,0.295,0.575,2019
14,Orlando Magic*,25.7,42,40,108.9,108.1,0.8,98.1,0.216,0.36,0.55,2019
15,Brooklyn Nets*,25.4,42,40,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,2019
16,Miami Heat,27,39,43,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,2019
17,Detroit Pistons*,26.9,41,41,109,109.2,-0.2,97.4,0.262,0.394,0.544,2019
18,Sacramento Kings,24.8,39,43,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,2019
19,Dallas Mavericks,26.9,33,49,109.4,110.7,-1.3,99,0.291,0.422,0.555,2019
20,Minnesota Timberwolves,26.2,36,46,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,2019
21,New Orleans Pelicans,25.7,33,49,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,2019
22,Charlotte Hornets,26.6,39,43,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,2019
23,Los Angeles Lakers,26.2,37,45,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,2019
24,Memphis Grizzlies,27.7,33,49,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,2019
25,Washington Wizards,26.5,32,50,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,2019
26,Atlanta Hawks,25.1,29,53,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,2019
27,Chicago Bulls,24,22,60,104.8,113.2,-8.4,99,0.235,0.295,0.541,2019
28,Phoenix Suns,24,19,63,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,2019
29,New York Knicks,23.4,17,65,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,2019
30,Cleveland Cavaliers,25.2,19,63,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,2019
